	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
     NNC_CCP	  966	1.18%	  884	91.51% Misclassified as: JJD_CCP-59(6.11)% | NNC-8(0.83)% | RBD_CCP-4(0.41)% | VBOF_CCP-2(0.21)% | CCB-1(0.10)% | FW-1(0.10)% | JJN-1(0.10)% | JJN_CCP-1(0.10)% | PRI_CCP-1(0.10)% | RBW-1(0.10)% | RBW_CCP-1(0.10)% | VBTS_CCP-1(0.10)% | VBW_CCP-1(0.10)% | 
         DTP	  926	1.13%	  926	100.00% Misclassified as: 
         RBI	  813	1.00%	  755	92.87% Misclassified as: CCP-57(7.01)% | CCT-1(0.12)% | 
         PRO	  734	0.90%	  731	99.59% Misclassified as: FW-2(0.27)% | PRO_CCP-1(0.14)% | 
         RBW	  693	0.85%	  615	88.74% Misclassified as: JJD-17(2.45)% | VBW-16(2.31)% | RBD-14(2.02)% | RBL-11(1.59)% | NNC-9(1.30)% | RBW_CCP-5(0.72)% | VBOF-2(0.29)% | CCB-1(0.14)% | FW-1(0.14)% | PRI-1(0.14)% | VBTS-1(0.14)% | 
        VBOF	  660	0.81%	  467	70.76% Misclassified as: VBTS-135(20.45)% | NNC-18(2.73)% | VBTR-10(1.52)% | RBD-7(1.06)% | VBTF-6(0.91)% | VBOF_CCP-4(0.61)% | JJD-3(0.45)% | VBTF_VBOF-2(0.30)% | VBTS_VBOF-2(0.30)% | FW-1(0.15)% | JJCS_JJD-1(0.15)% | NNP-1(0.15)% | VBAF-1(0.15)% | VBTR_VBOF-1(0.15)% | VBW-1(0.15)% | 
         RBL	  643	0.79%	  604	93.93% Misclassified as: RBW-23(3.58)% | RBL_NNP-5(0.78)% | CCT-2(0.31)% | CCU-2(0.31)% | JJD-1(0.16)% | NNC-1(0.16)% | RBD-1(0.16)% | RBL_CCP-1(0.16)% | RBR-1(0.16)% | VBTR-1(0.16)% | VBTS-1(0.16)% | 
     RBW_CCP	  637	0.78%	  614	96.39% Misclassified as: JJD_CCP-8(1.26)% | RBD_CCP-6(0.94)% | RBW-6(0.94)% | CCB-1(0.16)% | RBW_CCB-1(0.16)% | VBTS_CCP-1(0.16)% | 
         PRI	  569	0.70%	  561	98.59% Misclassified as: PRQ-3(0.53)% | JJD-2(0.35)% | NNC-2(0.35)% | CCT-1(0.18)% | 
        VBAF	  494	0.61%	  460	93.12% Misclassified as: VBW-24(4.86)% | FW-2(0.40)% | NNP-2(0.40)% | NNC-1(0.20)% | RBD-1(0.20)% | VBTF-1(0.20)% | VBTR-1(0.20)% | VBTR_VBAF-1(0.20)% | VBTS_VBAF-1(0.20)% | 
        NNPA	  467	0.57%	  451	96.57% Misclassified as: NNP-15(3.21)% | FW-1(0.21)% | 
    PRSP_CCP	  467	0.57%	  467	100.00% Misclassified as: 
         RBF	  428	0.52%	  419	97.90% Misclassified as: VBN_CCP-6(1.40)% | FW-1(0.23)% | JJCN-1(0.23)% | JJD-1(0.23)% | 
         VBH	  407	0.50%	  406	99.75% Misclassified as: NNC-1(0.25)% | 
     JJN_CCP	  395	0.48%	  371	93.92% Misclassified as: PRI_CCP-12(3.04)% | NNC_CCP-6(1.52)% | JJD_CCP-3(0.76)% | NNP_CCP-2(0.51)% | JJD-1(0.25)% | 
         PRS	  348	0.43%	  347	99.71% Misclassified as: RBT-1(0.29)% | 
         JJC	  289	0.35%	  279	96.54% Misclassified as: JJCC-4(1.38)% | NNC-4(1.38)% | JJD-1(0.35)% | VBW-1(0.35)% | 
        JJCC	  289	0.35%	  277	95.85% Misclassified as: JJC-7(2.42)% | JJD-3(1.04)% | JJCC_CCP-1(0.35)% | VBW-1(0.35)% | 
         RBB	  284	0.35%	  284	100.00% Misclassified as: 
        VBTF	  283	0.35%	  204	72.08% Misclassified as: VBW-28(9.89)% | VBOF-12(4.24)% | VBTR-12(4.24)% | NNC-10(3.53)% | JJD-7(2.47)% | RBD-3(1.06)% | VBTF_VBAF-2(0.71)% | VBTS-2(0.71)% | NNP-1(0.35)% | VBTR_VBAF-1(0.35)% | VBTS_VBOF-1(0.35)% | 
         RBD	  277	0.34%	  116	41.88% Misclassified as: JJD-87(31.41)% | RBW-16(5.78)% | VBTS-13(4.69)% | VBW-10(3.61)% | NNC-8(2.89)% | VBTR-7(2.53)% | CCB-6(2.17)% | VBOF-5(1.81)% | JJCS-2(0.72)% | VBAF-2(0.72)% | VBTF-2(0.72)% | JJD_CCP-1(0.36)% | RBD_CCP-1(0.36)% | RBW_CCP-1(0.36)% | 
   VBTR_VBAF	  271	0.33%	  237	87.45% Misclassified as: VBTR-24(8.86)% | VBAF-8(2.95)% | VBTF-1(0.37)% | VBTR_VBAF_CCP-1(0.37)% | 
         CCR	  224	0.27%	  221	98.66% Misclassified as: JJD_CCP-1(0.45)% | RBD-1(0.45)% | RBK-1(0.45)% | 
         RBK	  224	0.27%	  189	84.38% Misclassified as: CCR-32(14.29)% | CCT-3(1.34)% | 
     RBD_CCP	  220	0.27%	  135	61.36% Misclassified as: JJD_CCP-47(21.36)% | VBTS_CCP-12(5.45)% | VBTR_CCP-8(3.64)% | RBW_CCP-7(3.18)% | JJCS_CCP-2(0.91)% | VBOF_CCP-2(0.91)% | VBW_CCP-2(0.91)% | NNC_CCP-1(0.45)% | NNP_CCP-1(0.45)% | RBD-1(0.45)% | RBW_LM-1(0.45)% | VBTR-1(0.45)% | 
         VBS	  199	0.24%	  185	92.96% Misclassified as: NNC-7(3.52)% | RBF-3(1.51)% | RBT-2(1.01)% | CCR-1(0.50)% | JJD-1(0.50)% | 
         JJN	  186	0.23%	  172	92.47% Misclassified as: CDB-6(3.23)% | NNC-3(1.61)% | PRI-3(1.61)% | JJD-1(0.54)% | NNP-1(0.54)% | 
         RBQ	  186	0.23%	  179	96.24% Misclassified as: PRQ-5(2.69)% | NNC-1(0.54)% | VBOF-1(0.54)% | 
         CCU	  185	0.23%	  175	94.59% Misclassified as: RBL-8(4.32)% | NNC-1(0.54)% | RBK-1(0.54)% | 
         RBM	  167	0.20%	  158	94.61% Misclassified as: VBS_CCP-6(3.59)% | CCR-1(0.60)% | NNC-1(0.60)% | VBS-1(0.60)% | 
     RBI_CCP	  164	0.20%	  160	97.56% Misclassified as: RBM-4(2.44)% | 
     NNP_CCP	  160	0.20%	  142	88.75% Misclassified as: NNP-10(6.25)% | JJD_CCP-6(3.75)% | JJN_CCP-1(0.63)% | NNC_CCP-1(0.63)% | 
         RBR	  151	0.19%	  147	97.35% Misclassified as: RBL-2(1.32)% | JJD-1(0.66)% | NNC-1(0.66)% | 
         PRP	  140	0.17%	  138	98.57% Misclassified as: NNC-1(0.71)% | PRS-1(0.71)% | 
    JJCS_JJD	  127	0.16%	  121	95.28% Misclassified as: VBTS-3(2.36)% | JJCS_JJD_CCP-2(1.57)% | VBOF-1(0.79)% | 
    VBTR_CCP	  125	0.15%	   98	78.40% Misclassified as: JJD_CCP-7(5.60)% | VBTR-7(5.60)% | VBTS_CCP-7(5.60)% | RBD_CCP-4(3.20)% | VBTF_CCP-1(0.80)% | VBTR_VBAF_CCP-1(0.80)% | 
JJCS_JJD_CCP	  112	0.14%	  105	93.75% Misclassified as: JJCS_JJN_CCP-3(2.68)% | JJD_CCP-2(1.79)% | JJCS_CCP-1(0.89)% | VBTR_CCP-1(0.89)% | 
     PRQ_CCP	  108	0.13%	  103	95.37% Misclassified as: PRI_CCP-4(3.70)% | RBD_CCP-1(0.93)% | 
         RBP	  105	0.13%	  104	99.05% Misclassified as: RBR-1(0.95)% | 
        NNCA	  103	0.13%	   92	89.32% Misclassified as: NNC-5(4.85)% | FW-2(1.94)% | CCT-1(0.97)% | JJD-1(0.97)% | NNP-1(0.97)% | NNPA-1(0.97)% | 
        PMSC	   97	0.12%	   97	100.00% Misclassified as: 
     VBH_CCP	   97	0.12%	   96	98.97% Misclassified as: JJD_CCP-1(1.03)% | 
   VBTS_VBOF	   92	0.11%	   15	16.30% Misclassified as: VBTS-42(45.65)% | VBOF-26(28.26)% | VBTR-2(2.17)% | VBTS_CCP-2(2.17)% | JJCS_JJD-1(1.09)% | NNC-1(1.09)% | NNC_CCP-1(1.09)% | VBTR_CCP-1(1.09)% | VBTR_VBOF-1(1.09)% | 
     PRS_CCP	   86	0.11%	   86	100.00% Misclassified as: 
    VBTS_CCP	   82	0.10%	   48	58.54% Misclassified as: VBTR_CCP-11(13.41)% | VBTS-8(9.76)% | JJD_CCP-6(7.32)% | RBD_CCP-4(4.88)% | VBOF_CCP-2(2.44)% | PRI_CCP-1(1.22)% | VBTR-1(1.22)% | VBTS_VBOF-1(1.22)% | 
         PRL	   81	0.10%	   80	98.77% Misclassified as: VBTR-1(1.23)% | 
     VBN_CCP	   76	0.09%	   74	97.37% Misclassified as: RBF-2(2.63)% | 
     PRO_CCP	   71	0.09%	   69	97.18% Misclassified as: PRO-2(2.82)% | 
     JJC_CCP	   68	0.08%	   66	97.06% Misclassified as: JJD_CCP-2(2.94)% | 
   VBTS_VBAF	   59	0.07%	    7	11.86% Misclassified as: VBAF-51(86.44)% | VBTS-1(1.69)% | 
         PRQ	   55	0.07%	   49	89.09% Misclassified as: PRC-2(3.64)% | PRI-2(3.64)% | CCB-1(1.82)% | JJD-1(1.82)% | 
        DTPP	   54	0.07%	   53	98.15% Misclassified as: NNC-1(1.85)% | 
        VBRF	   48	0.06%	   35	72.92% Misclassified as: VBTR_VBRF-9(18.75)% | JJCS_JJD-1(2.08)% | RBD-1(2.08)% | VBTR-1(2.08)% | VBTS_VBRF-1(2.08)% | 
     RBL_CCP	   47	0.06%	   46	97.87% Misclassified as: NNC_CCP-1(2.13)% | 
     RBT_CCP	   45	0.06%	   32	71.11% Misclassified as: JJD_CCP-9(20.00)% | RBD_CCP-2(4.44)% | RBT-2(4.44)% | 
     PRP_CCP	   44	0.05%	   44	100.00% Misclassified as: 
         RBT	   43	0.05%	   34	79.07% Misclassified as: JJD-6(13.95)% | RBD-1(2.33)% | RBT_CCP-1(2.33)% | VBS-1(2.33)% | 
    VBOF_CCP	   36	0.04%	   20	55.56% Misclassified as: VBTS_CCP-9(25.00)% | NNC_CCP-2(5.56)% | JJCS_JJD_CCP-1(2.78)% | JJD_CCP-1(2.78)% | RBD_CCP-1(2.78)% | RBW_CCP-1(2.78)% | VBRF_CCP-1(2.78)% | 
        PRSP	   35	0.04%	   34	97.14% Misclassified as: NNC-1(2.86)% | 
   VBTR_VBRF	   28	0.03%	   21	75.00% Misclassified as: VBRF-4(14.29)% | VBTR-2(7.14)% | VBTS-1(3.57)% | 
        JJCS	   25	0.03%	   25	100.00% Misclassified as: 
   VBTR_VBOF	   24	0.03%	    5	20.83% Misclassified as: VBTR-16(66.67)% | NNC-1(4.17)% | VBOF-1(4.17)% | VBTR_CCP-1(4.17)% | 
         VBN	   23	0.03%	   23	100.00% Misclassified as: 
     PRC_CCP	   22	0.03%	   21	95.45% Misclassified as: PRO_CCP-1(4.55)% | 
         PRC	   21	0.03%	   17	80.95% Misclassified as: CCB-4(19.05)% | 
    JJCS_CCP	   20	0.02%	   19	95.00% Misclassified as: RBD_CCP-1(5.00)% | 
     RBL_NNP	   20	0.02%	   16	80.00% Misclassified as: RBL-4(20.00)% | 
   VBTF_VBOF	   20	0.02%	    1	5.00% Misclassified as: VBOF-8(40.00)% | VBTF-6(30.00)% | RBD-1(5.00)% | RBD_CCP-1(5.00)% | VBTR-1(5.00)% | VBTR_VBAF-1(5.00)% | VBTS-1(5.00)% | 
     VBW_CCP	   20	0.02%	    7	35.00% Misclassified as: RBD_CCP-5(25.00)% | JJD_CCP-4(20.00)% | NNC-2(10.00)% | NNC_CCP-1(5.00)% | RBD-1(5.00)% | 
      PRO_LM	   17	0.02%	   17	100.00% Misclassified as: 
     VBS_CCP	   17	0.02%	   13	76.47% Misclassified as: RBM-4(23.53)% | 
         RBN	   14	0.02%	    4	28.57% Misclassified as: JJD-3(21.43)% | RBD-2(14.29)% | RBL-2(14.29)% | RBW-2(14.29)% | CCB-1(7.14)% | 
     CCB_CCP	   10	0.01%	   10	100.00% Misclassified as: 
    VBRF_CCP	   10	0.01%	    9	90.00% Misclassified as: NNP_CCP-1(10.00)% | 
VBTR_VBAF_CCP	   10	0.01%	    5	50.00% Misclassified as: VBTR_CCP-2(20.00)% | VBTR_VBAF-2(20.00)% | JJD_CCP-1(10.00)% | 
        VBOB	    9	0.01%	    6	66.67% Misclassified as: VBOF-3(33.33)% | 
    VBTF_CCP	    9	0.01%	    1	11.11% Misclassified as: VBTF-3(33.33)% | JJD_CCP-2(22.22)% | RBD_CCP-1(11.11)% | VBOF_CCP-1(11.11)% | VBW_CCP-1(11.11)% | 
     RBQ_CCP	    8	0.01%	    4	50.00% Misclassified as: PRC_CCP-1(12.50)% | PRQ_CCP-1(12.50)% | RBD_CCP-1(12.50)% | RBQ-1(12.50)% | 
         PMQ	    7	0.01%	    5	71.43% Misclassified as: FW-2(28.57)% | 
   VBTF_VBAF	    6	0.01%	 null	0.00% Misclassified as: VBTF-3(50.00)% | VBW-2(33.33)% | VBAF-1(16.67)% | 
    JJCC_CCP	    5	0.01%	    4	80.00% Misclassified as: JJCC-1(20.00)% | 
     JJN_CCA	    5	0.01%	    3	60.00% Misclassified as: JJN-2(40.00)% | 
     CCT_CCP	    4	0.00%	    2	50.00% Misclassified as: CCT-2(50.00)% | 
     CDB_CCP	    4	0.00%	 null	0.00% Misclassified as: JJN_CCP-4(100.00)% | 
     RBF_CCP	    4	0.00%	 null	0.00% Misclassified as: JJCN_CCP-2(50.00)% | JJD_CCP-1(25.00)% | VBN_CCP-1(25.00)% | 
      RBW_LM	    4	0.00%	    4	100.00% Misclassified as: 
        VBOL	    4	0.00%	 null	0.00% Misclassified as: VBOF-2(50.00)% | VBTF-1(25.00)% | VBTS-1(25.00)% | 
VBTR_VBRF_CCP	    4	0.00%	    2	50.00% Misclassified as: VBRF_CCP-1(25.00)% | VBTR_VBRF-1(25.00)% | 
     CCR_CCA	    3	0.00%	    3	100.00% Misclassified as: 
      CCR_LM	    3	0.00%	    3	100.00% Misclassified as: 
     JJD_CCA	    3	0.00%	 null	0.00% Misclassified as: JJD-2(66.67)% | JJN_CCA-1(33.33)% | 
      PRP_LM	    3	0.00%	    3	100.00% Misclassified as: 
     RBM_CCP	    3	0.00%	 null	0.00% Misclassified as: RBM-2(66.67)% | NNC_CCP-1(33.33)% | 
         RBS	    3	0.00%	    1	33.33% Misclassified as: NNP-1(33.33)% | NNPA-1(33.33)% | 
        JJCN	    2	0.00%	    1	50.00% Misclassified as: RBF-1(50.00)% | 
    VBAF_CCP	    2	0.00%	 null	0.00% Misclassified as: JJD_CCP-1(50.00)% | RBD_CCP-1(50.00)% | 
   VBTS_VBRF	    2	0.00%	 null	0.00% Misclassified as: VBRF-1(50.00)% | VBTR_VBRF-1(50.00)% | 
     CCT_CCA	    1	0.00%	    1	100.00% Misclassified as: 
    JJCC_JJD	    1	0.00%	 null	0.00% Misclassified as: VBAF-1(100.00)% | 
    JJCS_JJN	    1	0.00%	    1	100.00% Misclassified as: 
JJCS_JJN_CCP	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD_CCP-1(100.00)% | 
    JJCS_RBF	    1	0.00%	    1	100.00% Misclassified as: 
     JJC_JJD	    1	0.00%	 null	0.00% Misclassified as: JJCC_JJD-1(100.00)% | 
      NNC_LM	    1	0.00%	 null	0.00% Misclassified as: FW-1(100.00)% | 
      PRS_LM	    1	0.00%	    1	100.00% Misclassified as: 
      RBF_LM	    1	0.00%	 null	0.00% Misclassified as: JJCN_LM-1(100.00)% | 
    RBF_VBTR	    1	0.00%	 null	0.00% Misclassified as: NNC-1(100.00)% | 
 RBF_VBW_CCP	    1	0.00%	 null	0.00% Misclassified as: RBF_CCP-1(100.00)% | 
      RBI_LM	    1	0.00%	 null	0.00% Misclassified as: PRS_LM-1(100.00)% | 
    RBL_NNPA	    1	0.00%	    1	100.00% Misclassified as: 
 RBL_NNP_NNP	    1	0.00%	 null	0.00% Misclassified as: RBL_NNP-1(100.00)% | 
     RBN_CCP	    1	0.00%	 null	0.00% Misclassified as: PRI_CCP-1(100.00)% | 
      RBQ_LM	    1	0.00%	 null	0.00% Misclassified as: RBQ-1(100.00)% | 
     RBR_DTP	    1	0.00%	    1	100.00% Misclassified as: 
     RBT_CCT	    1	0.00%	 null	0.00% Misclassified as: RBT_CCP-1(100.00)% | 
     RBW_CCA	    1	0.00%	 null	0.00% Misclassified as: RBW-1(100.00)% | 
        VBTP	    1	0.00%	 null	0.00% Misclassified as: NNC-1(100.00)% | 
     VBTS_LM	    1	0.00%	 null	0.00% Misclassified as: VBTS-1(100.00)% | 
VBTS_VBOF_CCP	    1	0.00%	 null	0.00% Misclassified as: VBTR_CCP-1(100.00)% | 

Average Precision: 0.7387426049591741
Average Recall: 0.7013723277734342
Accuracy: 0.9568435240779316(78088/81610)
GoldTag	PredTag	Word	Sent#	Word#
G:CCB P:CCT Kabilang 1548 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2491 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2655 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2974 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 324 0 		Context - *Kabilang|CCT* sa|CCT Parokya|NNP 
G:CCB P:CCT Kabilang 396 0 		Context - *Kabilang|CCT* ang|DTC Institute_of_Financial_Management|NNP 
G:CCB P:CCT Kabilang 530 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT kabilang 1800 29 		Context - )|PMS ;|PMSC *kabilang|CCT* sa|CCT pamilyang|NNC_CCP 
G:CCB P:CCT kabilang 2453 13 		Context - ,|PMC na|CCP *kabilang|CCT* din|RBI sa|CCT 
G:CCB P:JJD kabilang 1728 38 		Context - hanggang|RBW sa|CCT *kabilang|JJD* ibayo|NNC ng|CCB 
G:CCB P:PRC Gayon 1186 0 		Context - *Gayon|PRC* pa|RBI man|RBI 
G:CCB P:PRC Gayon 304 0 		Context - *Gayon|PRC* pa|RBI man|RBI 
G:CCB P:PRC gayunman 600 3 		Context - 1894|CDB ,|PMC *gayunman|PRC* napasa-kamay|VBTS ng_mga|DTCP 
G:CCB P:RBD nang 1897 4 		Context - na|CCP iniisip|VBTR *nang|RBD* lipunan|JJD ay|LM 
G:CCB P:RBD nang 42 14 		Context - at|CCA lilipad|VBTF *nang|RBD* mag-isa|RBD pagtapos|RBW 
G:CCB P:RBD nang 771 43 		Context - upang|CCB mag-ehersisyo|VBAF *nang|RBD* walang|RBF paghihigpit|NNC 
G:CCB P:RBW nang 1116 9 		Context - sa|CCT araw|NNC *nang|RBW* diretso|RBD sa|CCT 
G:CCB P:RBW nang 1321 15 		Context - ang|DTC impact|FW *nang|RBW* bloo|FW antigen|FW 
G:CCB P:RBW nang 1874 13 		Context - dahil_dito|RBP gumagawa|VBTR_VBAF *nang|RBW* inihurnong|RBD_CCP produkto|NNC 
G:CCB P:RBW nang 1993 1 		Context - Una|CDB *nang|RBW* inayawan|VBTS ni|DTP 
G:CCB P:RBW nang 2998 20 		Context - sa|CCT tumatanda|VBTR_VBAF *nang|RBW* linyang|NNC_CCP Apple|NNP 
G:CCB P:RBW nang 376 1 		Context - Nagdadala|VBTR *nang|RBW* mas|JJCC maraming|JJD_CCP 
G:CCB P:RBW nang 486 10 		Context - sa|CCT pamamaraan|NNC *nang|RBW* paanunsiyo|NNC o|CCT 
G:CCP P:CCB na 146 16 		Context - ay|LM tinatawag|VBTR *na|CCB* East|NNP Indian|NNP 
G:CCP P:CCB ng 1219 11 		Context - ang|DTC 1/10|CDB *ng|CCB* kanyang|PRSP_CCP kikitain|VBTF 
G:CCP P:CCB ng 129 25 		Context - mula_sa|RBL oras|NNC *ng|CCB* kapanganakan|NNC ngunit|CCT 
G:CCP P:CCB ng 1562 6 		Context - ,|PMC hari|NNC *ng|CCB* jazz|FW ,|PMC 
G:CCP P:DTP ni 1235 4 		Context - na|CCP pagtatanong|NNC *ni|DTP* Milgram|NNP ,|PMC 
G:CCP P:RBI na 1016 9 		Context - ,|PMC kabilang|CCB *na|RBI* ang|DTC liberalismo|NNC 
G:CCP P:RBI na 1020 1 		Context - Kahit|CCT *na|RBI* ang_mga|DTCP pananampalataya|NNC 
G:CCP P:RBI na 1262 15 		Context - ,|PMC pati|CCA *na|RBI* rin|RBI isa|PRI 
G:CCP P:RBI na 1308 14 		Context - 1482|CDB kasali|CCB *na|RBI* ang_mga|DTCP tabas|NNC 
G:CCP P:RBI na 1416 6 		Context - kapanabayan|NNC kabilang|CCB *na|RBI* ang|DTC dati|JJD 
G:CCP P:RBI na 1668 22 		Context - ,|PMC pati|CCA *na|RBI* rin|RBI sa|CCT 
G:CCP P:RBI na 1701 25 		Context - ,|PMC lalo|JJCC *na|RBI* sa|CCT oras|NNC 
G:CCP P:RBI na 1715 13 		Context - .|PMP Kasama|CCB *na|RBI* dito|PRL ang|DTC 
G:CCP P:RBI na 1798 1 		Context - Kahit|CCT *na|RBI* ang_mga|DTCP Espanyol|NNP 
G:CCP P:RBI na 1893 25 		Context - ,|PMC pati|CCA *na|RBI* rin|RBI ng|CCB 
G:CCP P:RBI na 1959 7 		Context - suportado|JJD lalung-lalo|JJCC *na|RBI* ang|DTC kanilang|PRSP_CCP 
G:CCP P:RBI na 2033 1 		Context - Kasama|CCB *na|RBI* dito|PRL ang|DTC 
G:CCP P:RBI na 2083 31 		Context - at|CCA umurong|VBAF *na|RBI* ang|DTC lahat|PRI 
G:CCP P:RBI na 2182 37 		Context - ,|PMC lalo|JJCC *na|RBI* bilang|CCT ay|LM 
G:CCP P:RBI na 2192 44 		Context - :|PMS Humina|VBAF *na|RBI* ang|DTC boses|NNC 
G:CCP P:RBI na 220 2 		Context - At|CCA kahit|CCT *na|RBI* hindi|RBF nagtagumpay|VBTS 
G:CCP P:RBI na 2221 18 		Context - Snowie|NNP pati|CCA *na|RBI* rin|RBI ang|DTC 
