	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
         RBW	  401	0.96%	  328	81.80% Misclassified as: RBD-15(3.74)% | NNC-14(3.49)% | VBW-14(3.49)% | JJD-9(2.24)% | RBL-9(2.24)% | RBW_CCP-5(1.25)% | VBOF-2(0.50)% | VBTS-2(0.50)% | CCB-1(0.25)% | CCU-1(0.25)% | RBI_CCP-1(0.25)% | 
         RBL	  398	0.95%	  349	87.69% Misclassified as: CCT-16(4.02)% | RBW-14(3.52)% | RBL_CCP-5(1.26)% | RBL_NNP-5(1.26)% | CCU-2(0.50)% | NNC-2(0.50)% | VBTS-2(0.50)% | RBD-1(0.25)% | VBTR-1(0.25)% | VBW-1(0.25)% | 
        VBOF	  355	0.85%	  237	66.76% Misclassified as: VBTS-55(15.49)% | NNC-11(3.10)% | RBD-10(2.82)% | VBTF-8(2.25)% | VBTR-8(2.25)% | VBTS_VBOF-7(1.97)% | VBW-4(1.13)% | VBTF_VBOF-3(0.85)% | JJD-2(0.56)% | VBOB-2(0.56)% | VBOF_CCP-2(0.56)% | VBOL-2(0.56)% | FW-1(0.28)% | VBAF-1(0.28)% | VBTS_CCP-1(0.28)% | VBTS_VBAF-1(0.28)% | 
          LM	  350	0.84%	  350	100.00% Misclassified as: 
     RBW_CCP	  347	0.83%	  319	91.93% Misclassified as: JJD_CCP-10(2.88)% | RBD_CCP-6(1.73)% | RBW-6(1.73)% | RBW_CCB-2(0.58)% | CCB-1(0.29)% | NNC-1(0.29)% | NNC_CCP-1(0.29)% | VBTS_CCP-1(0.29)% | 
         VBW	  333	0.80%	  261	78.38% Misclassified as: VBTF-13(3.90)% | JJD-12(3.60)% | NNC-11(3.30)% | RBW-10(3.00)% | VBS-8(2.40)% | RBD-4(1.20)% | VBOF-3(0.90)% | VBTF_VBAF-2(0.60)% | VBTR-2(0.60)% | VBTS-2(0.60)% | CCB-1(0.30)% | CCR-1(0.30)% | NNP-1(0.30)% | VBAF-1(0.30)% | VBTF_CCP-1(0.30)% | 
        NNPA	  314	0.75%	  304	96.82% Misclassified as: NNP-9(2.87)% | CDB-1(0.32)% | 
         PRI	  302	0.72%	  286	94.70% Misclassified as: JJD-8(2.65)% | NNC-4(1.32)% | PRQ-3(0.99)% | JJD_CCP-1(0.33)% | 
    PRSP_CCP	  227	0.54%	  227	100.00% Misclassified as: 
        VBAF	  219	0.52%	  194	88.58% Misclassified as: VBTS_VBAF-8(3.65)% | VBTR_VBAF-7(3.20)% | FW-2(0.91)% | NNC-2(0.91)% | VBOF-2(0.91)% | RBD-1(0.46)% | RBN-1(0.46)% | VBTR-1(0.46)% | VBTS-1(0.46)% | 
         VBH	  215	0.51%	  212	98.60% Misclassified as: VBW-2(0.93)% | JJD-1(0.47)% | 
     JJN_CCP	  209	0.50%	  181	86.60% Misclassified as: PRI_CCP-18(8.61)% | NNC_CCP-3(1.44)% | CDB_CCP-2(0.96)% | JJN-2(0.96)% | JJD_CCP-1(0.48)% | NNP_CCP-1(0.48)% | VBAF-1(0.48)% | 
         RBF	  196	0.47%	  186	94.90% Misclassified as: VBN-3(1.53)% | VBN_CCP-3(1.53)% | FW-1(0.51)% | NNC-1(0.51)% | NNP-1(0.51)% | VBS-1(0.51)% | 
         PRS	  192	0.46%	  192	100.00% Misclassified as: 
         RBB	  164	0.39%	  162	98.78% Misclassified as: CCT-1(0.61)% | RBP-1(0.61)% | 
         RBD	  151	0.36%	   40	26.49% Misclassified as: JJD-37(24.50)% | VBTS-21(13.91)% | VBTR-11(7.28)% | RBW-6(3.97)% | VBOF-6(3.97)% | NNC-5(3.31)% | VBW-5(3.31)% | CCP-4(2.65)% | VBTF-4(2.65)% | CCB-3(1.99)% | RBD_CCP-2(1.32)% | VBAF-2(1.32)% | PRI-1(0.66)% | RBN-1(0.66)% | VBTR_CCP-1(0.66)% | VBTR_VBAF-1(0.66)% | VBTS_CCP-1(0.66)% | 
        VBTF	  147	0.35%	   89	60.54% Misclassified as: VBW-23(15.65)% | JJD-9(6.12)% | VBTR-8(5.44)% | NNC-4(2.72)% | VBOF-4(2.72)% | RBD-3(2.04)% | NNC_CCP-2(1.36)% | VBTF_VBOF-2(1.36)% | VBTS_VBOF-2(1.36)% | VBTF_VBAF-1(0.68)% | 
        JJCC	  144	0.34%	  134	93.06% Misclassified as: JJD-5(3.47)% | JJC-4(2.78)% | VBW-1(0.69)% | 
         JJC	  134	0.32%	  125	93.28% Misclassified as: JJCC-3(2.24)% | JJD-2(1.49)% | NNC-2(1.49)% | RBD-1(0.75)% | VBW-1(0.75)% | 
         RBK	  114	0.27%	   92	80.70% Misclassified as: CCR-22(19.30)% | 
         CCR	  108	0.26%	  102	94.44% Misclassified as: RBK-5(4.63)% | RBP-1(0.93)% | 
     RBD_CCP	   98	0.23%	   48	48.98% Misclassified as: JJD_CCP-22(22.45)% | VBTS_CCP-8(8.16)% | VBTR_CCP-5(5.10)% | NNC_CCP-3(3.06)% | JJD-2(2.04)% | RBW_CCP-2(2.04)% | VBOF-2(2.04)% | JJCS_CCP-1(1.02)% | RBT_CCP-1(1.02)% | VBH_CCP-1(1.02)% | VBOF_CCP-1(1.02)% | VBTR-1(1.02)% | VBW-1(1.02)% | 
     RBI_CCP	   97	0.23%	   96	98.97% Misclassified as: RBI-1(1.03)% | 
   VBTR_VBAF	   95	0.23%	   75	78.95% Misclassified as: VBTR-15(15.79)% | VBAF-4(4.21)% | RBD-1(1.05)% | 
         VBS	   90	0.22%	   78	86.67% Misclassified as: VBW-4(4.44)% | NNC-3(3.33)% | CCR-1(1.11)% | RBD-1(1.11)% | RBD_CCP-1(1.11)% | RBT-1(1.11)% | VBOF-1(1.11)% | 
         RBQ	   88	0.21%	   86	97.73% Misclassified as: PRQ-1(1.14)% | RBF-1(1.14)% | 
         JJN	   82	0.20%	   71	86.59% Misclassified as: CDB-5(6.10)% | JJN_CCP-2(2.44)% | NNC-2(2.44)% | JJD-1(1.22)% | PRI-1(1.22)% | 
   VBTS_VBOF	   79	0.19%	   14	17.72% Misclassified as: VBOF-31(39.24)% | VBTS-18(22.78)% | VBTR-4(5.06)% | NNC-3(3.80)% | VBAF-2(2.53)% | JJCS_JJD-1(1.27)% | JJD-1(1.27)% | JJD_CCP-1(1.27)% | VBTR_CCP-1(1.27)% | VBTR_VBOF-1(1.27)% | VBTS_CCP-1(1.27)% | VBTS_VBAF-1(1.27)% | 
         RBR	   78	0.19%	   76	97.44% Misclassified as: CCT-1(1.28)% | NNC-1(1.28)% | 
    JJCS_JJD	   77	0.18%	   69	89.61% Misclassified as: JJCS_JJD_CCP-3(3.90)% | VBTR-2(2.60)% | JJCS_JJN-1(1.30)% | NNP-1(1.30)% | VBTS-1(1.30)% | 
    VBTR_CCP	   75	0.18%	   45	60.00% Misclassified as: VBTS_CCP-9(12.00)% | JJD_CCP-8(10.67)% | RBD_CCP-5(6.67)% | VBTR-5(6.67)% | NNC_CCP-2(2.67)% | VBTR_VBAF_CCP-1(1.33)% | 
         PRP	   71	0.17%	   71	100.00% Misclassified as: 
         CCU	   70	0.17%	   61	87.14% Misclassified as: RBL-7(10.00)% | NNP-1(1.43)% | RBK-1(1.43)% | 
     NNP_CCP	   70	0.17%	   56	80.00% Misclassified as: NNP-9(12.86)% | JJD_CCP-4(5.71)% | VBTS_CCP-1(1.43)% | 
         RBM	   70	0.17%	   63	90.00% Misclassified as: VBS-4(5.71)% | VBS_CCP-2(2.86)% | RBW-1(1.43)% | 
JJCS_JJD_CCP	   69	0.17%	   65	94.20% Misclassified as: JJD_CCP-3(4.35)% | JJCS_JJD-1(1.45)% | 
        NNCA	   69	0.17%	   58	84.06% Misclassified as: FW-4(5.80)% | NNPA-3(4.35)% | NNP-2(2.90)% | CCT-1(1.45)% | NNC-1(1.45)% | 
    VBTS_CCP	   56	0.13%	   27	48.21% Misclassified as: RBD_CCP-5(8.93)% | VBOF_CCP-5(8.93)% | VBTR_CCP-5(8.93)% | VBTS-5(8.93)% | JJD_CCP-4(7.14)% | VBTR-2(3.57)% | VBTS_VBOF-2(3.57)% | VBOF-1(1.79)% | 
         RBP	   52	0.12%	   51	98.08% Misclassified as: CCR-1(1.92)% | 
     PRO_CCP	   47	0.11%	   44	93.62% Misclassified as: NNC_CCP-1(2.13)% | PRC_CCP-1(2.13)% | PRO-1(2.13)% | 
     PRS_CCP	   45	0.11%	   45	100.00% Misclassified as: 
        PMSC	   43	0.10%	   43	100.00% Misclassified as: 
         PRL	   43	0.10%	   42	97.67% Misclassified as: PRO-1(2.33)% | 
     VBH_CCP	   43	0.10%	   43	100.00% Misclassified as: 
   VBTR_VBOF	   37	0.09%	    3	8.11% Misclassified as: VBTR-28(75.68)% | VBTS-2(5.41)% | RBD-1(2.70)% | VBOF-1(2.70)% | VBOL-1(2.70)% | VBTR_CCP-1(2.70)% | 
     PRQ_CCP	   36	0.09%	   35	97.22% Misclassified as: PRI_CCP-1(2.78)% | 
     VBN_CCP	   32	0.08%	   25	78.13% Misclassified as: RBF-4(12.50)% | JJD_CCP-1(3.13)% | JJN_CCP-1(3.13)% | RBF_CCP-1(3.13)% | 
   VBTS_VBAF	   30	0.07%	    4	13.33% Misclassified as: VBAF-24(80.00)% | JJD-1(3.33)% | NNC-1(3.33)% | 
     JJC_CCP	   27	0.06%	   27	100.00% Misclassified as: 
     RBL_CCP	   26	0.06%	   24	92.31% Misclassified as: NNC_CCP-1(3.85)% | RBL-1(3.85)% | 
        DTPP	   25	0.06%	   24	96.00% Misclassified as: NNC-1(4.00)% | 
     PRP_CCP	   25	0.06%	   25	100.00% Misclassified as: 
        JJCS	   23	0.06%	   17	73.91% Misclassified as: JJCS_JJD-3(13.04)% | CCT-1(4.35)% | JJCS_JJD_CCP-1(4.35)% | JJD-1(4.35)% | 
        VBRF	   22	0.05%	   11	50.00% Misclassified as: NNC-3(13.64)% | VBTR_VBRF-3(13.64)% | VBTS-3(13.64)% | VBOF-1(4.55)% | VBTS_VBRF-1(4.55)% | 
     RBT_CCP	   21	0.05%	   14	66.67% Misclassified as: JJD_CCP-3(14.29)% | RBM-3(14.29)% | RBT-1(4.76)% | 
     RBL_NNP	   20	0.05%	   17	85.00% Misclassified as: RBL-2(10.00)% | VBTR-1(5.00)% | 
         PRQ	   17	0.04%	   15	88.24% Misclassified as: PRI-2(11.76)% | 
     VBS_CCP	   16	0.04%	    3	18.75% Misclassified as: RBM-12(75.00)% | RBT-1(6.25)% | 
    JJCS_CCP	   15	0.04%	   12	80.00% Misclassified as: JJCS_JJD_CCP-1(6.67)% | JJD_CCP-1(6.67)% | RBT_CCP-1(6.67)% | 
         RBT	   15	0.04%	   13	86.67% Misclassified as: JJD-1(6.67)% | VBS-1(6.67)% | 
   VBTR_VBRF	   15	0.04%	   11	73.33% Misclassified as: VBRF-2(13.33)% | RBD-1(6.67)% | VBTR-1(6.67)% | 
     PRC_CCP	   13	0.03%	   12	92.31% Misclassified as: PRO_CCP-1(7.69)% | 
        PRSP	   13	0.03%	   12	92.31% Misclassified as: NNC-1(7.69)% | 
     VBW_CCP	   12	0.03%	    3	25.00% Misclassified as: JJD_CCP-5(41.67)% | NNC_CCP-1(8.33)% | VBH_CCP-1(8.33)% | VBTF_CCP-1(8.33)% | VBW-1(8.33)% | 
         RBN	   10	0.02%	    3	30.00% Misclassified as: JJD-5(50.00)% | RBL-2(20.00)% | 
         VBN	   10	0.02%	    9	90.00% Misclassified as: RBF-1(10.00)% | 
    VBOF_CCP	   10	0.02%	    6	60.00% Misclassified as: JJCS_JJD_CCP-1(10.00)% | NNC_CCP-1(10.00)% | VBTR_CCP-1(10.00)% | VBTS_CCP-1(10.00)% | 
         PRC	    9	0.02%	    8	88.89% Misclassified as: CCB-1(11.11)% | 
   VBTF_VBOF	    9	0.02%	 null	0.00% Misclassified as: VBTF-2(22.22)% | VBTS-2(22.22)% | RBW_CCP-1(11.11)% | VBOF-1(11.11)% | VBTR-1(11.11)% | VBTS_VBOF-1(11.11)% | VBW-1(11.11)% | 
     CCB_CCP	    6	0.01%	    6	100.00% Misclassified as: 
    VBRF_CCP	    6	0.01%	    5	83.33% Misclassified as: VBTR_VBRF_CCP-1(16.67)% | 
   VBTF_VBAF	    6	0.01%	 null	0.00% Misclassified as: VBW-3(50.00)% | VBAF-2(33.33)% | RBD-1(16.67)% | 
    JJCC_CCP	    4	0.01%	    4	100.00% Misclassified as: 
     JJN_CCA	    4	0.01%	    3	75.00% Misclassified as: JJN-1(25.00)% | 
     RBQ_CCP	    4	0.01%	    3	75.00% Misclassified as: RBQ-1(25.00)% | 
    VBTF_CCP	    4	0.01%	    1	25.00% Misclassified as: RBD_CCP-2(50.00)% | JJD_CCP-1(25.00)% | 
      PRO_LM	    3	0.01%	    3	100.00% Misclassified as: 
     RBM_CCP	    3	0.01%	 null	0.00% Misclassified as: JJD_CCP-1(33.33)% | NNC_CCP-1(33.33)% | RBM-1(33.33)% | 
         RBS	    3	0.01%	 null	0.00% Misclassified as: JJD-1(33.33)% | NNP-1(33.33)% | NNPA-1(33.33)% | 
      RBW_LM	    3	0.01%	 null	0.00% Misclassified as: FW-2(66.67)% | RBD_CCP-1(33.33)% | 
        VBOB	    3	0.01%	    1	33.33% Misclassified as: VBOF-1(33.33)% | VBTR-1(33.33)% | 
        VBOL	    3	0.01%	 null	0.00% Misclassified as: VBOF-2(66.67)% | VBTF-1(33.33)% | 
VBTR_VBAF_CCP	    3	0.01%	    1	33.33% Misclassified as: VBTR_CCP-2(66.67)% | 
      CCR_LM	    2	0.00%	 null	0.00% Misclassified as: CCR-1(50.00)% | JJC-1(50.00)% | 
     CDB_CCP	    2	0.00%	 null	0.00% Misclassified as: JJN_CCP-2(100.00)% | 
         PMQ	    2	0.00%	 null	0.00% Misclassified as: FW-2(100.00)% | 
VBTR_VBRF_CCP	    2	0.00%	    2	100.00% Misclassified as: 
   VBTS_VBRF	    2	0.00%	 null	0.00% Misclassified as: VBRF-1(50.00)% | VBTR_VBRF-1(50.00)% | 
     CCR_CCB	    1	0.00%	 null	0.00% Misclassified as: RBD_CCP-1(100.00)% | 
     CCR_CCP	    1	0.00%	 null	0.00% Misclassified as: RBD_CCP-1(100.00)% | 
     CCT_CCP	    1	0.00%	    1	100.00% Misclassified as: 
     CCU_DTP	    1	0.00%	 null	0.00% Misclassified as: RBL-1(100.00)% | 
 CDB_NNC_CCP	    1	0.00%	 null	0.00% Misclassified as: JJD_CCP-1(100.00)% | 
    JJCN_CCP	    1	0.00%	 null	0.00% Misclassified as: RBF_CCP-1(100.00)% | 
    JJCS_JJC	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD-1(100.00)% | 
    JJCS_RBF	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD-1(100.00)% | 
     JJC_JJD	    1	0.00%	 null	0.00% Misclassified as: JJCC_JJD-1(100.00)% | 
     JJD_CCA	    1	0.00%	 null	0.00% Misclassified as: JJD-1(100.00)% | 
     JJD_CCB	    1	0.00%	 null	0.00% Misclassified as: JJD_CCP-1(100.00)% | 
      NNC_LM	    1	0.00%	 null	0.00% Misclassified as: FW-1(100.00)% | 
     PRI_CCB	    1	0.00%	 null	0.00% Misclassified as: PRI_CCP-1(100.00)% | 
      PRP_LM	    1	0.00%	 null	0.00% Misclassified as: VBOF-1(100.00)% | 
     RBD_CCB	    1	0.00%	 null	0.00% Misclassified as: VBOF_CCP-1(100.00)% | 
 RBF_JJD_CCP	    1	0.00%	 null	0.00% Misclassified as: RBF_CCP-1(100.00)% | 
    RBF_VBTR	    1	0.00%	 null	0.00% Misclassified as: NNC-1(100.00)% | 
 RBF_VBW_CCP	    1	0.00%	 null	0.00% Misclassified as: RBF_CCP-1(100.00)% | 
      RBI_LM	    1	0.00%	 null	0.00% Misclassified as: VBTS-1(100.00)% | 
    RBL_NNPA	    1	0.00%	    1	100.00% Misclassified as: 
 RBL_NNP_NNP	    1	0.00%	 null	0.00% Misclassified as: RBL_NNP-1(100.00)% | 
     RBN_CCP	    1	0.00%	 null	0.00% Misclassified as: PRI_CCP-1(100.00)% | 
     RBR_DTP	    1	0.00%	    1	100.00% Misclassified as: 
     RBT_CCT	    1	0.00%	 null	0.00% Misclassified as: RBT_CCP-1(100.00)% | 
     RBW_CCA	    1	0.00%	 null	0.00% Misclassified as: RBW-1(100.00)% | 
    VBTF_JJD	    1	0.00%	 null	0.00% Misclassified as: VBW-1(100.00)% | 
        VBTP	    1	0.00%	 null	0.00% Misclassified as: NNC-1(100.00)% | 
    VBTS_JJD	    1	0.00%	 null	0.00% Misclassified as: VBTS-1(100.00)% | 
     VBTS_LM	    1	0.00%	 null	0.00% Misclassified as: VBTR-1(100.00)% | 
VBTS_VBOF_CCP	    1	0.00%	 null	0.00% Misclassified as: VBTS_CCP-1(100.00)% | 

Average Precision: 0.6176526424714355
Average Recall: 0.6089108778074457
Accuracy: 0.9383463323604
GoldTag	PredTag	Word	Sent#	Word#
G:CCB P:CCP ng 1219 11 		Context - ang|DTC 1/10|CDB *ng|CCP* kanyang|PRSP_CCP kikitain|VBTF 
G:CCB P:CCP ng 129 25 		Context - mula_sa|RBL oras|NNC *ng|CCP* kapanganakan|NNC ngunit|CCT 
G:CCB P:CCP ng 1562 6 		Context - ,|PMC hari|NNC *ng|CCP* jazz|NNC ,|PMC 
G:CCB P:CCP ng 915 6 		Context - na|CCP sistema|NNC *ng|CCP* komunikasyon|NNC para_sa|RBB 
G:CCB P:CCT Bagaman 294 0 		Context - *Bagaman|CCT* hindi|RBF ito|PRO 
G:CCB P:CCT Kabilang 1548 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 324 0 		Context - *Kabilang|CCT* sa|CCT Parokya|NNP 
G:CCB P:CCT Kabilang 396 0 		Context - *Kabilang|CCT* ang|DTC Institute_of_Financial_Management|NNP 
G:CCB P:CCT Kabilang 530 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT kabilang 801 10 		Context - ,|PMC na|CCP *kabilang|CCT* na|CCP ngayon|RBW 
G:CCB P:CCT upang 1265 2 		Context - Nagsikap|VBTS siya|PRS *upang|CCT* maging|VBW operation|FW 
G:CCB P:NNC kasali 502 8 		Context - prutas|NNC ,|PMC *kasali|NNC* ang|DTC niyog|NNC 
G:CCB P:PRC gayon 799 8 		Context - imigrante|NNC :|PMS *gayon|PRC* pa|RBI man|RBI 
G:CCB P:RBD nang 1484 10 		Context - noo'y|FW pawala|RBD *nang|RBD* leybel|NNC na|CCP 
G:CCB P:RBD nang 855 5 		Context - ang|DTC nagmumungkahi|VBTR *nang|RBD* maliit|JJD na|CCP 
G:CCB P:RBW nang 1116 9 		Context - sa|CCT araw|NNC *nang|RBW* diretso|RBD sa|CCT 
G:CCB P:RBW nang 1321 15 		Context - ang|DTC impact|FW *nang|RBW* bloo|FW antigen|FW 
G:CCB P:RBW nang 376 1 		Context - Nagdadala|VBTR *nang|RBW* mas|JJCC maraming|JJD_CCP 
G:CCB P:RBW nang 42 14 		Context - at|CCA lilipad|VBTF *nang|RBW* mag-isa|RBD pagtapos|RBW 
G:CCB P:RBW nang 486 10 		Context - sa|CCT pamamaraan|NNC *nang|RBW* paanunsiyo|NNC o|CCT 
G:CCB P:VBTF gayumpaman 1358 8 		Context - nito|PRO ,|PMC *gayumpaman|VBTF* ,|PMC nakakalamang|VBTR 
G:CCP P:CCB na 146 16 		Context - ay|LM tinatawag|VBTR *na|CCB* East|NNP Indian|NNP 
G:CCP P:CCT na 45 2 		Context - Noong|RBW_CCP sumunod|VBAF *na|CCT* taon|NNC ,|PMC 
G:CCP P:DTP ni 1235 4 		Context - na|CCP pagtatanong|NNC *ni|DTP* Milgram|NNP ,|PMC 
G:CCP P:RBI na 1022 5 		Context - ,|PMC kasama|CCB *na|RBI* ang|DTC Linux|NNP 
G:CCP P:RBI na 1083 5 		Context - ,|PMC kasama|CCB *na|RBI* ang|DTC pagkabayolohikal|NNC 
G:CCP P:RBI na 1178 25 		Context - at|CCA pati|CCA *na|RBI* rin|RBI sa|CCT 
G:CCP P:RBI na 1230 21 		Context - ,|PMC kasama|CCB *na|RBI* rin|RBI ang|DTC 
G:CCP P:RBI na 126 19 		Context - at|CCA ginagawa|VBTR *na|RBI* ito|PRO kahit|CCT 
G:CCP P:RBI na 1385 44 		Context - technology|FW katulad|JJC *na|RBI* lamang|RBI ng|CCB 
G:CCP P:RBI na 18 17 		Context - ,|PMC lalo|JJCC *na|RBI* sa|CCT Hulyo|NNP 
G:CCP P:RBI na 217 11 		Context - ,|PMC lalo|JJCC *na|RBI* ang|DTC Gujarati|NNP 
G:CCP P:RBI na 257 1 		Context - Sumunod|VBAF *na|RBI* rin|RBI ang|DTC 
G:CCP P:RBI na 262 1 		Context - Mapapansin|VBTF *na|RBI* mas|JJCC malinaw|JJD 
G:CCP P:RBI na 267 15 		Context - milyong|NNC_CCP taon|NNC *na|RBI* ang|DTC nakalipas|VBTS 
G:CCP P:RBI na 275 10 		Context - at|CCA hindi|RBF *na|RBI* sumapi|VBAF sa|CCT 
G:CCP P:RBI na 278 13 		Context - niyog|NNC lalo|JJCC *na|RBI* sa|CCT mga|DTCP 
G:CCP P:RBI na 285 1 		Context - Dapat|VBS *na|RBI* mas|JJCC maliit|JJD 
G:CCP P:RBI na 453 22 		Context - at|CCA pati|CCA *na|RBI* rin|RBI ang|DTC 
G:CCP P:RBI na 454 16 		Context - ,|PMC kasama|CCB *na|RBI* rito|PRL ang|DTC 
G:CCP P:RBI na 459 26 		Context - na|CCP nagsasabi|VBTR *na|RBI* ang_mga|DTCP pinakamalaking|JJCS_JJD_CCP 
G:CCP P:RBI na 459 3 		Context - ay|LM nagsasabi|VBTR *na|RBI* ang|DTC binary|FW 
G:CCP P:RBI na 491 10 		Context - simbahan|NNC kasama|CCB *na|RBI* ang|DTC St.|NNPA 
G:CCP P:RBI na 597 41 		Context - isang|PRI_CCP tuloy-tuloy|RBD *na|RBI* tustos|JJD ng|CCB 
